canonical_year,proposed_episode_number,canonical_date,date_source,reported_episode_number,title,status,rss_episode_id,master_audio_source,master_source_reference,preferred_local_file,master_relative_path,metadata_flags,review_flags
2010,23,2010-10-25,file-modified-year+filename+year-folder,,,local-only,,local,2010/20101025 (1).mp3,2010/20101025 (1).mp3,Master/2010/10/2010-10-25__S2010E023__episode.mp3,Title missing from embedded metadata,
2010,24,2010-11-01,filename+year-folder,,,local-only,,local,2010/20101101 (1).mp3,2010/20101101 (1).mp3,Master/2010/11/2010-11-01__S2010E024__episode.mp3,Title missing from embedded metadata,
2010,25,2010-11-08,filename+year-folder,,,local-only,,local,2010/20101108 (1).mp3,2010/20101108 (1).mp3,Master/2010/11/2010-11-08__S2010E025__episode.mp3,Title missing from embedded metadata,
2010,26,2010-11-15,file-modified-year+filename+year-folder,,,local-only,,local,2010/20101115 (1).mp3,2010/20101115 (1).mp3,Master/2010/11/2010-11-15__S2010E026__episode.mp3,Title missing from embedded metadata,
2010,27,2010-11-22,file-modified-year+filename+year-folder,,,local-only,,local,2010/20101122 (1).mp3,2010/20101122 (1).mp3,Master/2010/11/2010-11-22__S2010E027__episode.mp3,Title missing from embedded metadata,
2010,28,2010-11-29,filename+year-folder,,,local-only,,local,2010/20101129 (1).mp3,2010/20101129 (1).mp3,Master/2010/11/2010-11-29__S2010E028__episode.mp3,Title missing from embedded metadata,
2010,29,2010-12-13,filename+year-folder,,,local-only,,local,2010/20101213 (1).mp3,2010/20101213 (1).mp3,Master/2010/12/2010-12-13__S2010E029__episode.mp3,Title missing from embedded metadata,
2010,30,2010-12-20,filename+year-folder,,,local-only,,local,2010/20101220 (1).mp3,2010/20101220 (1).mp3,Master/2010/12/2010-12-20__S2010E030__episode.mp3,Title missing from embedded metadata,
2010,31,2010-12-27,filename+year-folder,,,local-only,,local,2010/20101227 (1).mp3,2010/20101227 (1).mp3,Master/2010/12/2010-12-27__S2010E031__episode.mp3,Title missing from embedded metadata,
2010,32,,unresolved,1,Retro LFTP: Episode 1,local-only,,local,2010/RetroLFTP -Episode1 (2016_10_07 00_26_59 UTC).mp3,2010/RetroLFTP -Episode1 (2016_10_07 00_26_59 UTC).mp3,Master/2010/00-unknown-date/2010-00-00__S2010E032__retro-lftp-episode-1.mp3,Reported episode number differs from date-order sequence,Exact episode date unresolved
2011,1,2011-01-02,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110102.mp3,2011/20110102.mp3,Master/2011/01/2011-01-02__S2011E001__episode.mp3,Title missing from embedded metadata,
2011,2,2011-01-17,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110117.mp3,2011/20110117.mp3,Master/2011/01/2011-01-17__S2011E002__episode.mp3,Title missing from embedded metadata,
2011,3,2011-01-24,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110124.mp3,2011/20110124.mp3,Master/2011/01/2011-01-24__S2011E003__episode.mp3,Title missing from embedded metadata,
2011,4,2011-02-01,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110201.mp3,2011/20110201.mp3,Master/2011/02/2011-02-01__S2011E004__episode.mp3,Title missing from embedded metadata,
2011,5,2011-02-21,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110221.mp3,2011/20110221.mp3,Master/2011/02/2011-02-21__S2011E005__episode.mp3,Title missing from embedded metadata,
2011,6,2011-02-28,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110228.mp3,2011/20110228.mp3,Master/2011/02/2011-02-28__S2011E006__episode.mp3,,
2011,7,2011-03-07,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110307.mp3,2011/20110307.mp3,Master/2011/03/2011-03-07__S2011E007__episode.mp3,,
2011,8,2011-03-21,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110321.mp3,2011/20110321.mp3,Master/2011/03/2011-03-21__S2011E008__episode.mp3,Title missing from embedded metadata,
2011,9,2011-03-21,filename+year-folder,,,local-only,,local,2011/20110321 (2016_10_07 00_26_59 UTC).mp3,2011/20110321 (2016_10_07 00_26_59 UTC).mp3,Master/2011/03/2011-03-21__S2011E009__episode.mp3,Metadata read issue: HeaderNotFoundError: can't sync to MPEG frame | Title missing from embedded metadata,Preferred local audio is unreadable or has invalid media metadata
2011,10,2011-04-04,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110404.mp3,2011/20110404.mp3,Master/2011/04/2011-04-04__S2011E010__episode.mp3,Title missing from embedded metadata,
2011,11,2011-04-11,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110411.mp3,2011/20110411.mp3,Master/2011/04/2011-04-11__S2011E011__episode.mp3,,
2011,12,2011-04-18,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110418.mp3,2011/20110418.mp3,Master/2011/04/2011-04-18__S2011E012__episode.mp3,,
2011,13,2011-04-25,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110425.mp3,2011/20110425.mp3,Master/2011/04/2011-04-25__S2011E013__episode.mp3,,
2011,14,2011-05-02,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110502.mp3,2011/20110502.mp3,Master/2011/05/2011-05-02__S2011E014__episode.mp3,,
2011,15,2011-05-16,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110516.mp3,2011/20110516.mp3,Master/2011/05/2011-05-16__S2011E015__episode.mp3,Title missing from embedded metadata,
2011,16,2011-05-30,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110530.mp3,2011/20110530.mp3,Master/2011/05/2011-05-30__S2011E016__episode.mp3,,
2011,17,2011-06-07,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110607.mp3,2011/20110607.mp3,Master/2011/06/2011-06-07__S2011E017__episode.mp3,Title missing from embedded metadata,
2011,18,2011-06-13,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20110613.mp3,2011/20110613.mp3,Master/2011/06/2011-06-13__S2011E018__episode.mp3,,
2011,19,2011-06-20,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110620.mp3,2011/20110620.mp3,Master/2011/06/2011-06-20__S2011E019__episode.mp3,,
2011,20,2011-06-27,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110627LFTP.mp3,2011/20110627LFTP.mp3,Master/2011/06/2011-06-27__S2011E020__episode.mp3,Title missing from embedded metadata,
2011,21,2011-07-18,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110718 (1).mp3,2011/20110718 (1).mp3,Master/2011/07/2011-07-18__S2011E021__episode.mp3,,
2011,22,2011-07-18,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110718.mp3,2011/20110718.mp3,Master/2011/07/2011-07-18__S2011E022__episode.mp3,Title missing from embedded metadata,
2011,23,2011-07-25,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110725.mp3,2011/20110725.mp3,Master/2011/07/2011-07-25__S2011E023__episode.mp3,Title missing from embedded metadata,
2011,24,2011-08-01,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110801.mp3,2011/20110801.mp3,Master/2011/08/2011-08-01__S2011E024__episode.mp3,Title missing from embedded metadata,
2011,25,2011-08-16,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110816.mp3,2011/20110816.mp3,Master/2011/08/2011-08-16__S2011E025__episode.mp3,Title missing from embedded metadata,
2011,26,2011-08-22,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110822part2.mp3,2011/20110822part2.mp3,Master/2011/08/2011-08-22__S2011E026__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,27,2011-08-23,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110823part1.mp3,2011/20110823part1.mp3,Master/2011/08/2011-08-23__S2011E027__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,28,2011-08-29,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110829.mp3,2011/20110829.mp3,Master/2011/08/2011-08-29__S2011E028__episode.mp3,Title missing from embedded metadata,
2011,29,2011-09-05,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110905.mp3,2011/20110905.mp3,Master/2011/09/2011-09-05__S2011E029__episode.mp3,Title missing from embedded metadata,
2011,30,2011-09-12,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110912.mp3,2011/20110912.mp3,Master/2011/09/2011-09-12__S2011E030__episode.mp3,Title missing from embedded metadata,
2011,31,2011-09-19,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110919.mp3,2011/20110919.mp3,Master/2011/09/2011-09-19__S2011E031__episode.mp3,Title missing from embedded metadata,
2011,32,2011-09-27,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110927.mp3,2011/20110927.mp3,Master/2011/09/2011-09-27__S2011E032__episode.mp3,Title missing from embedded metadata,
2011,33,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003Part1.mp3,2011/20111003Part1.mp3,Master/2011/10/2011-10-03__S2011E033__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,34,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003II.mp3,2011/20111003II.mp3,Master/2011/10/2011-10-03__S2011E034__episode.mp3,Title missing from embedded metadata,Shares a date with an explicitly labeled multi-part file
2011,35,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003I.mp3,2011/20111003I.mp3,Master/2011/10/2011-10-03__S2011E035__episode.mp3,Title missing from embedded metadata,Shares a date with an explicitly labeled multi-part file
2011,36,2011-10-10,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111010.mp3,2011/20111010.mp3,Master/2011/10/2011-10-10__S2011E036__episode.mp3,Title missing from embedded metadata,
2011,37,2011-10-17,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111017.mp3,2011/20111017.mp3,Master/2011/10/2011-10-17__S2011E037__episode.mp3,Title missing from embedded metadata,
2011,38,2011-10-24,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111024.mp3,2011/20111024.mp3,Master/2011/10/2011-10-24__S2011E038__episode.mp3,Title missing from embedded metadata,
2011,39,2011-10-31,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111031.mp3,2011/20111031.mp3,Master/2011/10/2011-10-31__S2011E039__episode.mp3,Title missing from embedded metadata,
2011,40,2011-11-07,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111107.mp3,2011/20111107.mp3,Master/2011/11/2011-11-07__S2011E040__episode.mp3,Title missing from embedded metadata,
2011,41,2011-11-21,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111121.mp3,2011/20111121.mp3,Master/2011/11/2011-11-21__S2011E041__episode.mp3,Title missing from embedded metadata,
2011,42,2011-11-28,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111128.mp3,2011/20111128.mp3,Master/2011/11/2011-11-28__S2011E042__episode.mp3,Title missing from embedded metadata,
2011,43,2011-12-05,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111205.mp3,2011/20111205.mp3,Master/2011/12/2011-12-05__S2011E043__episode.mp3,Title missing from embedded metadata,
2011,44,2011-12-12,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20111212.mp3,2011/20111212.mp3,Master/2011/12/2011-12-12__S2011E044__episode.mp3,,
2011,45,2011-12-20,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111220.mp3,2011/20111220.mp3,Master/2011/12/2011-12-20__S2011E045__episode.mp3,Title missing from embedded metadata,
2011,46,2011-12-26,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2011/20111226.mp3,2011/20111226.mp3,Master/2011/12/2011-12-26__S2011E046__episode.mp3,,
2011,47,,unresolved,,,local-only,,local,2011/Dec 22 Show.mp4,2011/Dec 22 Show.mp4,Master/2011/00-unknown-date/2011-00-00__S2011E047__episode.mp4,Title missing from embedded metadata,Exact episode date unresolved
2012,1,2012-01-02,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120102 (1).mp3,2012/20120102 (1).mp3,Master/2012/01/2012-01-02__S2012E001__episode.mp3,,
2012,2,2012-01-09,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120109 - Jessa Anderson.mp3,2012/20120109 - Jessa Anderson.mp3,Master/2012/01/2012-01-09__S2012E002__episode.mp3,Title missing from embedded metadata,
2012,3,2012-01-16,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120116.mp3,2012/20120116.mp3,Master/2012/01/2012-01-16__S2012E003__episode.mp3,,
2012,4,2012-01-23,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120123.mp3,2012/20120123.mp3,Master/2012/01/2012-01-23__S2012E004__episode.mp3,Title missing from embedded metadata,
2012,5,2012-01-30,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120130.mp3,2012/20120130.mp3,Master/2012/01/2012-01-30__S2012E005__episode.mp3,Title missing from embedded metadata,
2012,6,2012-02-13,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120213.mp3,2012/20120213.mp3,Master/2012/02/2012-02-13__S2012E006__episode.mp3,Title missing from embedded metadata,
2012,7,2012-02-20,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120220.mp3,2012/20120220.mp3,Master/2012/02/2012-02-20__S2012E007__episode.mp3,Title missing from embedded metadata,
2012,8,2012-02-27,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120227(1).mp3,2012/20120227(1).mp3,Master/2012/02/2012-02-27__S2012E008__episode.mp3,Title missing from embedded metadata,Same-date numbered files may be parts of one episode
2012,9,2012-02-27,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120227(2).mp3,2012/20120227(2).mp3,Master/2012/02/2012-02-27__S2012E009__episode.mp3,Title missing from embedded metadata,Same-date numbered files may be parts of one episode
2012,10,2012-03-05,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120305 - Part 1.mp3,2012/20120305 - Part 1.mp3,Master/2012/03/2012-03-05__S2012E010__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,11,2012-03-05,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120305 - Part 2.mp3,2012/20120305 - Part 2.mp3,Master/2012/03/2012-03-05__S2012E011__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,12,2012-03-12,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120312 - Part 1.mp3,2012/20120312 - Part 1.mp3,Master/2012/03/2012-03-12__S2012E012__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,13,2012-03-12,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120312 - Part 2.mp3,2012/20120312 - Part 2.mp3,Master/2012/03/2012-03-12__S2012E013__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,14,2012-03-19,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120319.mp3,2012/20120319.mp3,Master/2012/03/2012-03-19__S2012E014__episode.mp3,Title missing from embedded metadata,
2012,15,2012-03-26,file-modified-year+filename+year-folder,,,local-only,,local,2012/03262012.mp3,2012/03262012.mp3,Master/2012/03/2012-03-26__S2012E015__episode.mp3,Title missing from embedded metadata,
2012,16,2012-04-02,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120402.mp3,2012/20120402.mp3,Master/2012/04/2012-04-02__S2012E016__episode.mp3,Title missing from embedded metadata,
2012,17,2012-04-09,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120409.mp3,2012/20120409.mp3,Master/2012/04/2012-04-09__S2012E017__episode.mp3,Title missing from embedded metadata,
2012,18,2012-04-29,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120429.mp3,2012/20120429.mp3,Master/2012/04/2012-04-29__S2012E018__episode.mp3,Title missing from embedded metadata,
2012,19,2012-04-30,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120430.mp3,2012/20120430.mp3,Master/2012/04/2012-04-30__S2012E019__episode.mp3,Title missing from embedded metadata,
2012,20,2012-05-07,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120507.mp3,2012/20120507.mp3,Master/2012/05/2012-05-07__S2012E020__episode.mp3,Title missing from embedded metadata,
2012,21,2012-05-22,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120522.mp3,2012/20120522.mp3,Master/2012/05/2012-05-22__S2012E021__episode.mp3,Title missing from embedded metadata,
2012,22,2012-05-28,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120528.mp3,2012/20120528.mp3,Master/2012/05/2012-05-28__S2012E022__episode.mp3,,
2012,23,2012-06-04,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120604.mp3,2012/20120604.mp3,Master/2012/06/2012-06-04__S2012E023__episode.mp3,Title missing from embedded metadata,
2012,24,2012-06-08,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120608.mp3,2012/20120608.mp3,Master/2012/06/2012-06-08__S2012E024__episode.mp3,Title missing from embedded metadata,
2012,25,2012-06-11,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120611.mp3,2012/20120611.mp3,Master/2012/06/2012-06-11__S2012E025__episode.mp3,Title missing from embedded metadata,
2012,26,2012-06-26,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120626.mp3,2012/20120626.mp3,Master/2012/06/2012-06-26__S2012E026__episode.mp3,Title missing from embedded metadata,
2012,27,2012-07-02,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120702.mp3,2012/20120702.mp3,Master/2012/07/2012-07-02__S2012E027__episode.mp3,Title missing from embedded metadata,
2012,28,2012-07-09,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120709.mp3,2012/20120709.mp3,Master/2012/07/2012-07-09__S2012E028__episode.mp3,Title missing from embedded metadata,
2012,29,2012-07-16,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120716.mp3,2012/20120716.mp3,Master/2012/07/2012-07-16__S2012E029__episode.mp3,Title missing from embedded metadata,
2012,30,2012-07-30,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120730.mp3,2012/20120730.mp3,Master/2012/07/2012-07-30__S2012E030__episode.mp3,Title missing from embedded metadata,
2012,31,2012-08-13,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120813.mp3,2012/20120813.mp3,Master/2012/08/2012-08-13__S2012E031__episode.mp3,Title missing from embedded metadata,
2012,32,2012-08-20,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120820.mp3,2012/20120820.mp3,Master/2012/08/2012-08-20__S2012E032__episode.mp3,Title missing from embedded metadata,
2012,33,2012-08-27,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120827.mp3,2012/20120827.mp3,Master/2012/08/2012-08-27__S2012E033__episode.mp3,Title missing from embedded metadata,
2012,34,2012-09-03,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120903.mp3,2012/20120903.mp3,Master/2012/09/2012-09-03__S2012E034__episode.mp3,,
2012,35,2012-09-10,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120910.mp3,2012/20120910.mp3,Master/2012/09/2012-09-10__S2012E035__episode.mp3,,
2012,36,2012-09-17,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120917.mp3,2012/20120917.mp3,Master/2012/09/2012-09-17__S2012E036__episode.mp3,,
2012,37,2012-09-24,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20120924.mp3,2012/20120924.mp3,Master/2012/09/2012-09-24__S2012E037__episode.mp3,,
2012,38,2012-10-01,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121001.mp3,2012/20121001.mp3,Master/2012/10/2012-10-01__S2012E038__episode.mp3,,
2012,39,2012-10-08,file-modified-year+filename+year-folder,,,local-only,,local,2012/20121008.mp3,2012/20121008.mp3,Master/2012/10/2012-10-08__S2012E039__episode.mp3,,
2012,40,2012-10-10,embedded-title+file-modified-year+year-folder,,,local-only,,local,2012/20101015.mp3,2012/20101015.mp3,Master/2012/10/2012-10-10__S2012E040__episode.mp3,,
2012,41,2012-10-22,file-modified-year+filename+year-folder,,,local-only,,local,2012/20121022.mp3,2012/20121022.mp3,Master/2012/10/2012-10-22__S2012E041__episode.mp3,,
2012,42,2012-10-29,file-modified-year+filename+year-folder,,,local-only,,local,2012/20121029P.mp3,2012/20121029P.mp3,Master/2012/10/2012-10-29__S2012E042__episode.mp3,Title missing from embedded metadata,
2012,43,2012-11-05,file-modified-year+filename+year-folder,,,local-only,,local,2012/P20121105.mp3,2012/P20121105.mp3,Master/2012/11/2012-11-05__S2012E043__episode.mp3,Title missing from embedded metadata,
2012,44,2012-11-12,file-modified-year+filename+year-folder,,"November12 , 2012",local-only,,local,2012/20121112P.mp3,2012/20121112P.mp3,Master/2012/11/2012-11-12__S2012E044__november12-2012.mp3,,
2012,45,2012-11-19,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121119P.mp3,2012/20121119P.mp3,Master/2012/11/2012-11-19__S2012E045__episode.mp3,,
2012,46,2012-11-27,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121127.mp3,2012/20121127.mp3,Master/2012/11/2012-11-27__S2012E046__episode.mp3,,
2012,47,2012-12-03,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121203.mp3,2012/20121203.mp3,Master/2012/12/2012-12-03__S2012E047__episode.mp3,,
2012,48,2012-12-10,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121210.mp3,2012/20121210.mp3,Master/2012/12/2012-12-10__S2012E048__episode.mp3,,
2012,49,2012-12-17,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2012/20121217P.mp3,2012/20121217P.mp3,Master/2012/12/2012-12-17__S2012E049__episode.mp3,,
2013,1,2013-01-07,file-modified-year+filename+year-folder,,,local-only,,local,2013/20130107.mp3,2013/20130107.mp3,Master/2013/01/2013-01-07__S2013E001__episode.mp3,,
2013,2,2013-01-14,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2013/20130114.mp3,2013/20130114.mp3,Master/2013/01/2013-01-14__S2013E002__episode.mp3,,
2013,3,2013-01-21,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2013/20130121.mp3,2013/20130121.mp3,Master/2013/01/2013-01-21__S2013E003__episode.mp3,,
2013,4,2013-01-28,file-modified-year+filename+year-folder,,,local-only,,local,2013/20130128.mp3,2013/20130128.mp3,Master/2013/01/2013-01-28__S2013E004__episode.mp3,,
2013,5,2013-02-10,embedded-title+file-modified-year+filename+year-folder,,,local-only,,local,2013/20130210.mp3,2013/20130210.mp3,Master/2013/02/2013-02-10__S2013E005__episode.mp3,,
2013,6,2013-02-15,rss,3,"Tighten Up On Your Job, Homey",confirmed,ep-003-75650bdcb4,rss,https://dts.podtrac.com/redirect.mp3/livefromthepath.org/wp-content/uploads/2013/02/20130204.mp3,2013/20130204.mp3,Master/2013/02/2013-02-15__S2013E006__tighten-up-on-your-job-homey.mp3,Reported episode number differs from date-order sequence,
