canonical_year,proposed_episode_number,canonical_date,date_source,reported_episode_number,title,status,rss_episode_id,master_audio_source,master_source_reference,preferred_local_file,master_relative_path,metadata_flags,review_flags
2012,10,2012-03-05,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120305 - Part 1.mp3,2012/20120305 - Part 1.mp3,Master/2012/03/2012-03-05__S2012E010__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,11,2012-03-05,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120305 - Part 2.mp3,2012/20120305 - Part 2.mp3,Master/2012/03/2012-03-05__S2012E011__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,12,2012-03-12,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120312 - Part 1.mp3,2012/20120312 - Part 1.mp3,Master/2012/03/2012-03-12__S2012E012__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2012,13,2012-03-12,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120312 - Part 2.mp3,2012/20120312 - Part 2.mp3,Master/2012/03/2012-03-12__S2012E013__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2013,56,,unresolved,,,confirmed,,local,2013/PodcastDivert.mp3,2013/PodcastDivert.mp3,Master/2013/00-unknown-date/2013-00-00__S2013E056__episode.mp3,Title missing from embedded metadata,Exact episode date unresolved
2015,70,,unresolved,,Live From The Path - Silversyde 2015,confirmed,,local,2015/Live From The Path - Silversyde 2015 (2016_10_07 00_26_59 UTC).mp3,2015/Live From The Path - Silversyde 2015 (2016_10_07 00_26_59 UTC).mp3,Master/2015/00-unknown-date/2015-00-00__S2015E070__live-from-the-path-silversyde-2015.mp3,,Exact episode date unresolved
2016,46,,unresolved,,Live From The Path w/ Jacey,local-only,,local,2016/Live From The Path - Live From The Path w- Jacey (2016_10_07 00_26_59 UTC).mp3,2016/Live From The Path - Live From The Path w- Jacey (2016_10_07 00_26_59 UTC).mp3,Master/2016/00-unknown-date/2016-00-00__S2016E046__live-from-the-path-w-jacey.mp3,,Exact episode date unresolved
2020,30,,unresolved,19,Live From The Path | 2020 E19,local-only,,local,2020/Untitled.mp3,2020/Untitled.mp3,Master/2020/00-unknown-date/2020-00-00__S2020E030__live-from-the-path-2020-e19.mp3,Reported episode number differs from date-order sequence,Exact episode date unresolved
2022,33,,unresolved,14,2022 Episode 14,local-only,,local,2022/2022_Episode14_473 - 01 Start.mp3,2022/2022_Episode14_473 - 01 Start.mp3,Master/2022/00-unknown-date/2022-00-00__S2022E033__2022-episode-14.mp3,Reported episode number differs from date-order sequence,Exact episode date unresolved
2022,34,,unresolved,32,,local-only,,local,2022/2022_Episode32_Raw.mp3,2022/2022_Episode32_Raw.mp3,Master/2022/00-unknown-date/2022-00-00__S2022E034__episode.mp3,Title missing from embedded metadata | Reported episode number differs from date-order sequence,Exact episode date unresolved
2023,34,,unresolved,27,,local-only,,local,2023/LFTP_2023_Episode27_v1 - 01 Start.mp3,2023/LFTP_2023_Episode27_v1 - 01 Start.mp3,Master/2023/00-unknown-date/2023-00-00__S2023E034__episode.mp3,Embedded title appears to be a repeated/default tag; title unresolved | Reported episode number differs from date-order sequence,Exact episode date unresolved
2023,35,,unresolved,30,,local-only,,local,2023/LFTP_2023_Episode30_v1 - 08.mp3,2023/LFTP_2023_Episode30_v1 - 08.mp3,Master/2023/00-unknown-date/2023-00-00__S2023E035__episode.mp3,Embedded title appears to be a repeated/default tag; title unresolved | Reported episode number differs from date-order sequence,Exact episode date unresolved
,1,,unresolved,,,local-only,,local,BestofLFTP.mp3,BestofLFTP.mp3,Master/unknown/00-unknown-date/unknown-00-00__SunknownE001__episode.mp3,Title missing from embedded metadata | Publication date unresolved,Exact episode date unresolved
