canonical_year,proposed_episode_number,canonical_date,title,status,master_audio_source,preferred_local_file,rss_episode_id,review_flags
2012,8,2012-02-27,,local-only,local,2012/20120227(1).mp3,,Same-date numbered files may be parts of one episode
2012,9,2012-02-27,,local-only,local,2012/20120227(2).mp3,,Same-date numbered files may be parts of one episode
2012,10,2012-03-05,,local-only,local,2012/20120305 - Part 1.mp3,,File appears to be one part of a multi-part episode
2012,11,2012-03-05,,local-only,local,2012/20120305 - Part 2.mp3,,File appears to be one part of a multi-part episode
2012,12,2012-03-12,,local-only,local,2012/20120312 - Part 1.mp3,,File appears to be one part of a multi-part episode
2012,13,2012-03-12,,local-only,local,2012/20120312 - Part 2.mp3,,File appears to be one part of a multi-part episode
2012,14,2012-03-19,,local-only,local,2012/20120319.mp3,,
2012,15,2012-03-26,,local-only,local,2012/03262012.mp3,,
2012,16,2012-04-02,,local-only,local,2012/20120402.mp3,,
2012,17,2012-04-09,,local-only,local,2012/20120409.mp3,,
2012,18,2012-04-29,,local-only,local,2012/20120429.mp3,,
2012,19,2012-04-30,,local-only,local,2012/20120430.mp3,,
2012,20,2012-05-07,,local-only,local,2012/20120507.mp3,,
2012,21,2012-05-22,,local-only,local,2012/20120522.mp3,,
2012,22,2012-05-28,,local-only,local,2012/20120528.mp3,,
2012,23,2012-06-04,,local-only,local,2012/20120604.mp3,,
2012,24,2012-06-08,,local-only,local,2012/20120608.mp3,,
2012,25,2012-06-11,,local-only,local,2012/20120611.mp3,,
2012,26,2012-06-26,,local-only,local,2012/20120626.mp3,,
2012,27,2012-07-02,,local-only,local,2012/20120702.mp3,,
2012,28,2012-07-09,,local-only,local,2012/20120709.mp3,,
2012,29,2012-07-16,,local-only,local,2012/20120716.mp3,,
2012,30,2012-07-30,,local-only,local,2012/20120730.mp3,,
2012,31,2012-08-13,,local-only,local,2012/20120813.mp3,,
2012,32,2012-08-20,,local-only,local,2012/20120820.mp3,,
2012,33,2012-08-27,,local-only,local,2012/20120827.mp3,,
2012,34,2012-09-03,,local-only,local,2012/20120903.mp3,,
2012,35,2012-09-10,,local-only,local,2012/20120910.mp3,,
2012,36,2012-09-17,,local-only,local,2012/20120917.mp3,,
2012,37,2012-09-24,,local-only,local,2012/20120924.mp3,,
2012,38,2012-10-01,,local-only,local,2012/20121001.mp3,,
2012,39,2012-10-08,,local-only,local,2012/20121008.mp3,,
2012,40,2012-10-10,,local-only,local,2012/20101015.mp3,,
2012,41,2012-10-22,,local-only,local,2012/20121022.mp3,,
2012,42,2012-10-29,,local-only,local,2012/20121029P.mp3,,
2012,43,2012-11-05,,local-only,local,2012/P20121105.mp3,,
2012,44,2012-11-12,"November12 , 2012",local-only,local,2012/20121112P.mp3,,
2012,45,2012-11-19,,local-only,local,2012/20121119P.mp3,,
2012,46,2012-11-27,,local-only,local,2012/20121127.mp3,,
2012,47,2012-12-03,,local-only,local,2012/20121203.mp3,,
2012,48,2012-12-10,,local-only,local,2012/20121210.mp3,,
2012,49,2012-12-17,,local-only,local,2012/20121217P.mp3,,
2013,1,2013-01-07,,local-only,local,2013/20130107.mp3,,
2013,2,2013-01-14,,local-only,local,2013/20130114.mp3,,
2013,3,2013-01-21,,local-only,local,2013/20130121.mp3,,
2013,4,2013-01-28,,local-only,local,2013/20130128.mp3,,
2013,5,2013-02-10,,local-only,local,2013/20130210.mp3,,
2013,6,2013-02-15,"Tighten Up On Your Job, Homey",confirmed,rss,2013/20130204.mp3,ep-003-75650bdcb4,
2013,7,2013-02-15,"February 11, 2013 Podcast",rss-only,rss,,february-11-2013-podcast-264aa5df7a,
2013,8,2013-02-19,,local-only,local,2013/20130219.mp3,,
2013,9,2013-03-21,"February 25, 2013 Podcast",confirmed,rss,2013/20130226.mp3,february-25-2013-podcast-fbbe47e810,
2013,10,2013-03-21,"March 11, 2013 Podcast",confirmed,rss,2013/20130311.mp3,march-11-2013-podcast-37d73e6f42,
2013,11,2013-03-21,"March 18, 2013 Podcast",confirmed,rss,2013/20130318.mp3,march-18-2013-podcast-0dad64cf0b,
2013,12,2013-03-26,"March 25, 2013 Podcast",confirmed,rss,2013/20130325.mp3,march-25-2013-podcast-053a7715e9,
2013,13,2013-04-02,,confirmed,rss,2013/20130401P.mp3,live-from-the-path-04-01-2013-1ef433d7e9,
2013,14,2013-04-15,,local-only,local,2013/Live From The Path - 4 15 2013 (2016_10_07 00_26_59 UTC).mp3,,
2013,15,2013-04-16,"April 15, 2013 Podcast",confirmed,local-recovery,2014/20140623 (2016_10_07 00_26_59 UTC).mp3,april-15-2013-podcast-048ac13448,
2013,16,2013-05-03,"April 29, 2013 Podcast",confirmed,rss,2013/20130429 (2016_10_07 00_26_59 UTC).mp3,april-29-2013-podcast-c6cb7b11b5,
2013,17,2013-05-07,Special Interview – Silversyde,confirmed,rss,2013/20130506 - Silversyde.mp3,special-interview-silversyde-bae3b810cb,
2013,18,2013-05-09,"May 6, 2013 Podcast",confirmed,rss,2013/20130506.mp3,may-6-2013-podcast-1987af4c5b,
2013,19,2013-05-10,,local-only,local,2013/20130510KTIA.mp3,,
2013,20,2013-05-13,"May 13, 2013 Podcast",local-only,local,2013/20130513 (2016_10_07 00_26_59 UTC).mp3,,
2013,21,2013-05-17,"May 13, 2013 Podcast",rss-only,rss,,may-13-2013-podcast-04ae8babe7,
2013,22,2013-05-21,"May 20, 2013 Podcast",confirmed,rss,2013/20130520.mp3,may-20-2013-podcast-dd0b4b51e6,
2013,23,2013-05-28,"May 27, 2013 Podcast",confirmed,rss,2013/20130527.mp3,may-27-2013-podcast-97dbf763ac,
2013,24,2013-06-10,"June 10, 2013 Podcast",local-only,local,2013/20130610 (2016_10_07 00_26_59 UTC).mp3,,
2013,25,2013-06-13,"June 10, 2013 Podcast",rss-only,rss,,june-10-2013-podcast-71ca3f89b6,
2013,26,2013-06-18,"June 17, 2013 Podcast",confirmed,rss,2013/20130617.mp3,june-17-2013-podcast-2f71c49deb,
2013,27,2013-06-25,"June 24, 2013 Podcast",confirmed,rss,2013/20130624.mp3,june-24-2013-podcast-38e27fca51,
2013,28,2013-07-03,"July 1, 2013 Podcast",confirmed,rss,2013/20130701 (2016_10_07 00_26_59 UTC).mp3,july-1-2013-podcast-001fd5fd3d,
2013,29,2013-07-09,"July 8, 2013 Podcast",confirmed,rss,2013/20130708.mp3,july-8-2013-podcast-b780bca41a,
2013,30,2013-07-16,"July 15, 2013 Podcast",confirmed,rss,,july-15-2013-podcast-d653c75c3f,
2013,31,2013-07-23,"July 22, 2013 Podcast",confirmed,rss,2013/20130722 (2016_10_07 00_26_59 UTC).mp3,july-22-2013-podcast-c1d3828804,
2013,32,2013-07-30,"July 29, 2013 Podcast",confirmed,rss,2013/20130729.mp3,july-29-2013-podcast-6a93834a3b,
2013,33,2013-08-04,"August 4, 2013 Podcast",local-only,local,2013/20130804 (2016_10_07 00_26_59 UTC).mp3,,
2013,34,2013-08-08,"August 4, 2013 Podcast",rss-only,rss,,august-4-2013-podcast-4779ab910d,
2013,35,2013-08-14,"August 12, 2013 Podcast",confirmed,rss,2013/20130812.mp3,august-12-2013-podcast-cf0d4b2e71,
2013,36,2013-08-31,"August 26, 2013 Podcast",confirmed,rss,2013/20130827 (2016_10_07 00_26_59 UTC).mp3,august-26-2013-podcast-73b17bef86,
2013,37,2013-09-09,"April 15, 2013 Podcast",local-only,local,2013/20130909 (2016_10_07 00_26_59 UTC).mp3,,
2013,38,2013-09-12,"September 9, 2013 Podcast",rss-only,rss,,september-9-2013-podcast-0ccc9a8df3,
2013,39,2013-09-18,"September 16, 2013 Podcast",confirmed,rss,2013/20130916 (2016_10_07 00_26_59 UTC).mp3,september-16-2013-podcast-528660bd40,
2013,40,2013-09-23,,local-only,local,2013/20130923 (2016_10_07 00_26_59 UTC).mp3,,
2013,41,2013-09-26,"September 23, 2013 Podcast",rss-only,rss,,september-23-2013-podcast-1d88ecff4f,
2013,42,2013-10-01,"September 30, 2013 Podcast",confirmed,rss,2013/20130930 (2016_10_07 00_26_59 UTC).mp3,september-30-2013-podcast-8c869f5c35,
2013,43,2013-10-08,"October 7, 2013 Podcast",confirmed,rss,2013/20131007.mp3,october-7-2013-podcast-fafda2301e,
2013,44,2013-10-15,"October 14, 2013 Podcast",confirmed,rss,2013/20131014.mp3,october-14-2013-podcast-27afa6ca61,
2013,45,2013-10-21,,local-only,local,2013/20131021 (2016_10_07 00_26_59 UTC).mp3,,
2013,46,2013-10-21,"October 21, 2013 Podcast",local-only,local,2013/20131021P (2016_10_07 00_26_59 UTC).mp3,,
2013,47,2013-10-26,"October 21, 2013 Podcast",rss-only,rss,,october-21-2013-podcast-b91eca7d84,
2013,48,2013-10-29,"October 28, 2013 Podcast",confirmed,rss,2013/20131028.mp3,october-28-2013-podcast-08a0459303,
2013,49,2013-11-05,"November 4, 2013 Podcast",confirmed,rss,2013/20131104.mp3,november-4-2013-podcast-7d1fb788c0,
2013,50,2013-11-12,"November 11, 2013 Podcast",confirmed,rss,2013/20131111.mp3,november-11-2013-podcast-020c764497,
2013,51,2013-11-26,"November 25, 2013 Podcast",confirmed,rss,2013/20131125.mp3,november-25-2013-podcast-6f841e5e3d,
2013,52,2013-12-06,"December 02, 2013 Podcast",confirmed,rss,2013/20131202.mp3,december-02-2013-podcast-4ce36a71e4,
2013,53,2013-12-20,"December 16, 2013 Podcast",confirmed,rss,2013/20131216 (2016_10_07 00_26_59 UTC).mp3,december-16-2013-podcast-f228fbd46e,
2013,54,2013-12-24,"December 23, 2013 Podcast",confirmed,rss,2013/20131223.mp3,december-23-2013-podcast-624ea205ac,
2013,55,2013-12-31,"December 30, 2013 Podcast",confirmed,rss,2013/20131230.mp3,december-30-2013-podcast-41faee121b,
2013,56,,,confirmed,local,2013/PodcastDivert.mp3,,Exact episode date unresolved
2014,1,2014-01-07,"January 6, 2014 Podcast",confirmed,rss,2014/20140106 (2016_10_07 00_26_59 UTC).mp3,january-6-2014-podcast-0d27c1d40f,
2014,2,2014-01-21,"January 20, 2014 Podcast",confirmed,rss,2014/20140120.mp3,january-20-2014-podcast-7ef1d9173b,
2014,3,2014-01-28,"January 27, 2014 Podcast",confirmed,rss,2014/20140127.mp3,january-27-2014-podcast-ff70650899,
2014,4,2014-02-03,,local-only,local,2014/20140203 (2016_10_07 00_26_59 UTC).mp3,,
2014,5,2014-02-06,"February 3, 2014 Podcast",rss-only,rss,,february-3-2014-podcast-efdb05465d,
2014,6,2014-02-16,"February 10, 2014 Podcast",confirmed,rss,2014/20140210.mp3,february-10-2014-podcast-8183b25a26,
2014,7,2014-02-23,"February 17, 2014 Podcast",confirmed,rss,2014/20140217.mp3,february-17-2014-podcast-3ef35a9375,
2014,8,2014-02-25,"February 24, 2014 Podcast",confirmed,rss,2014/20140224.mp3,february-24-2014-podcast-d564d1691b,
2014,9,2014-03-04,"March 03, 2014 Podcast",confirmed,rss,2014/20140303.mp3,march-03-2014-podcast-d139bd64df,
2014,10,2014-03-18,"March 17, 2014 Podcast",confirmed,rss,2014/20140317.mp3,march-17-2014-podcast-a6afd91202,
2014,11,2014-03-25,"March 24, 2014 Podcast",confirmed,rss,2014/20140324.mp3,march-24-2014-podcast-53b14efc24,
2014,12,2014-04-01,"March 31, 2014 Podcast",confirmed,rss,2014/20140331.mp3,march-31-2014-podcast-ba69b29dc8,
2014,13,2014-04-08,"April 7, 2014 Podcast",confirmed,rss,2014/20140407.mp3,april-7-2014-podcast-08a3b9b2cd,
2014,14,2014-04-15,"April 14, 2014 Podcast",confirmed,rss,2014/20140414.mp3,april-14-2014-podcast-54123acf24,
2014,15,2014-04-21,,local-only,local,2014/20140421 (2016_10_07 00_26_59 UTC).mp3,,
2014,16,2014-04-25,"April 21, 2014 Podcast",confirmed,rss,2014/20140421.mp3,april-21-2014-podcast-991262fcf7,
2014,17,2014-04-29,"April 28, 2014 Podcast",confirmed,rss,2014/20140428.mp3,april-28-2014-podcast-066e29b90a,
2014,18,2014-05-06,"May 5, 2014 Podcast",confirmed,rss,2014/20140505.mp3,may-5-2014-podcast-d1cb26ec0c,
2014,19,2014-05-13,"May 12, 2014 Podcast",rss-only,rss,,may-12-2014-podcast-dce8f5b84d,
2014,20,2014-05-23,"May 19, 2014 Podcast",confirmed,rss,2014/20140519 (2016_10_07 00_26_59 UTC).mp3,may-19-2014-podcast-cc21a1b881,
2014,21,2014-05-27,"May 26, 2014 Podcast",confirmed,rss,2014/20140526.mp3,may-26-2014-podcast-cdf19b2648,
2014,22,2014-06-03,"June 2, 2014 Podcast w/ Jon Acuff",confirmed,rss,2014/20140602.mp3,june-2-2014-podcast-w-jon-acuff-1ba9413c8b,
2014,23,2014-06-10,"June 9, 2014 Podcast",confirmed,rss,2014/20140609.mp3,june-9-2014-podcast-23df1780ec,
2014,24,2014-06-17,"June 16, 2014 Podcast",confirmed,rss,2014/20140616.mp3,june-16-2014-podcast-00b9898349,
2014,25,2014-06-27,"June 23, 2014 Podcast",rss-only,rss,,june-23-2014-podcast-152e40fce5,
2014,26,2014-07-01,"June 30, 2014 Podcast",confirmed,rss,2014/20140630.mp3,june-30-2014-podcast-30588e0cb8,
2014,27,2014-07-08,"July 7, 2014 Podcast",confirmed,rss,2014/20140707.mp3,july-7-2014-podcast-56bbbd54a4,
2014,28,2014-07-20,,local-only,local,2014/20140720 (2016_10_07 00_26_59 UTC).mp3,,
2014,29,2014-07-21,"July 14, 2014 Podcast",rss-only,rss,,july-14-2014-podcast-14585f5ede,
2014,30,2014-07-22,"July 21, 2014 Podcast",confirmed,rss,,july-21-2014-podcast-b08a7dfc28,
2014,31,2014-08-04,,local-only,local,2014/20140804 (2016_10_07 00_26_59 UTC) (1).mp3,,
2014,32,2014-08-04,"August 4, 2014 Podcast",local-only,local,2014/20140804Podcast (2016_10_07 00_26_59 UTC).mp3,,
2014,33,2014-08-08,Silversyde,rss-only,rss,,silversyde-8cf4b73e01,
2014,34,2014-08-26,"August 11, 2014 Podcast",confirmed,rss,2014/20140811.mp3,august-11-2014-podcast-f0f6dfdf66,
2014,35,2014-08-26,"August 18, 2014 Podcast",confirmed,rss,2014/20140818.mp3,august-18-2014-podcast-04449c3c97,
2014,36,2014-08-26,"August 25, 2014 Podcast",confirmed,rss,2014/20140825.mp3,august-25-2014-podcast-f5787b2469,
2014,37,2014-09-17,"September 15, 2014 Podcast",confirmed,rss,2014/20140916.mp3,september-15-2014-podcast-1c278d685b,
2014,38,2014-09-30,"September 29, 2014 Podcast",rss-only,rss,,september-29-2014-podcast-fbe5f44e02,
2014,39,2014-10-14,"October 13, 2014 Podcast",confirmed,rss,2014/20141013.mp3,october-13-2014-podcast-6759322f14,
2014,40,2014-10-22,"October 20, 2014 Podcast",rss-only,rss,,october-20-2014-podcast-793787d574,
2014,41,2014-10-29,"October 27, 2014 Podcast",rss-only,rss,,october-27-2014-podcast-715ba92856,
2014,42,2014-11-10,"November 3, 2014 Podcast",rss-only,rss,,november-3-2014-podcast-9ec686cb69,
2014,43,2014-11-17,"November 10, 2014 Podcast",confirmed,rss,2014/20141110 (2016_10_07 00_26_59 UTC).mp3,november-10-2014-podcast-2d1d4283bb,
2014,44,2014-11-21,"November 17, 2014 Podcast",confirmed,rss,2014/20141117 (2016_10_07 00_26_59 UTC).mp3,november-17-2014-podcast-db82bbce40,
2014,45,2014-11-24,,local-only,local,2014/20141124 (2016_10_07 00_26_59 UTC).mp3,,
2014,46,2014-12-01,,local-only,local,2014/20141201 (2016_10_07 00_26_59 UTC).mp3,,
2014,47,2014-12-01,"November 24, 2014 Podcast",rss-only,rss,,november-24-2014-podcast-ad81f83b87,
2014,48,2014-12-04,"December 1, 2014 Podcast",rss-only,rss,,december-1-2014-podcast-ed00fa7949,
2014,49,2014-12-10,"December 8, 2014 Podcast",confirmed,rss,2014/20141208 (2016_10_07 00_26_59 UTC).mp3,december-8-2014-podcast-30478eb862,
2014,50,2014-12-15,,local-only,local,2014/20141215 (2016_10_07 00_26_59 UTC).mp3,,
2014,51,2014-12-18,"December 15, 2014 Podcast",rss-only,rss,,december-15-2014-podcast-6e2098dac9,
2014,52,2014-12-23,"December 22, 2014 Podcast",confirmed,rss,2014/20141221.mp3,december-22-2014-podcast-e564a2d215,
2014,53,2014-12-30,"December 29, 2014 Podcast",confirmed,rss,2014/20141229.mp3,ep-030-3a2fd31427,
2015,1,2015-01-12,,local-only,local,2015/20150112 (2016_10_07 00_26_59 UTC).mp3,,
2015,2,2015-01-15,,local-only,local,2015/20150115 (2016_10_07 00_26_59 UTC).mp3,,
2015,3,2015-01-19,"January 12, 2015 Podcast",rss-only,rss,,january-12-2015-podcast-4376d82a3e,
2015,4,2015-01-20,"January 19, 2015 Podcast",confirmed,rss,,january-19-2015-podcast-96a7576e1b,
2015,5,2015-02-03,"February 2, 2015 Podcast",confirmed,rss,2015/20150202.mp3,february-2-2015-podcast-7909d25843,
2015,6,2015-02-13,"February 9, 2015 Podcast",confirmed,rss,2015/20150209.mp3,february-9-2015-podcast-b220c514d2,
2015,7,2015-02-16,,local-only,local,2015/20150216 (2016_10_07 00_26_59 UTC).mp3,,
2015,8,2015-02-16,,local-only,local,2015/20150216(2) (2016_10_07 00_26_59 UTC) (1).mp3,,
2015,9,2015-02-19,"February 16, 2015 Podcast",rss-only,rss,,february-16-2015-podcast-544e4b5f6e,
2015,10,2015-02-23,,local-only,local,2015/20150223 (2016_10_07 00_26_59 UTC).mp3,,
2015,11,2015-03-02,,local-only,local,2015/20140302 (2016_10_07 00_26_59 UTC).mp3,,
2015,12,2015-03-02,,local-only,local,2015/20150302 (2016_10_07 00_26_59 UTC).mp3,,
2015,13,2015-03-05,"February 23, 2015 Podcast",rss-only,rss,,february-23-2015-podcast-bdf1be2ec2,
2015,14,2015-03-05,"March 2, 2015 Podcast",rss-only,rss,,march-2-2015-podcast-e3675547bd,
2015,15,2015-03-09,,local-only,local,2015/20150309.mp3,,
2015,16,2015-03-10,"March 9, 2015 Podcast",confirmed,rss,2015/20150309 (2016_10_07 00_26_59 UTC).mp3,march-9-2015-podcast-6f59b77b95,
2015,17,2015-03-16,,local-only,local,2015/20150316 (2016_10_07 00_26_59 UTC).mp3,,
2015,18,2015-03-16,,local-only,local,2015/Live From The Path - 3162015 (2016_10_07 00_26_59 UTC).mp3,,
2015,19,2015-03-19,"March 16, 2015 Podcast",rss-only,rss,,march-16-2015-podcast-e09b528f00,
2015,20,2015-03-23,,local-only,local,2015/20150323 (2016_10_07 00_26_59 UTC) (1).mp3,,
2015,21,2015-03-23,,local-only,local,2015/20150323 (2016_10_07 00_26_59 UTC).mp3,,
2015,22,2015-03-27,"March 23, 2015 Podcast",rss-only,rss,,march-23-2015-podcast-39783c0dd7,
2015,23,2015-03-30,,local-only,local,2015/Live From The Path - 03-30-2015 (2016_10_07 00_26_59 UTC).mp3,,
2015,24,2015-03-31,"March 30, 2015 Podcast",confirmed,rss,2015/20150330.mp3,march-30-2015-podcast-b3473d01e7,
2015,25,2015-04-06,,local-only,local,2016/Live From The Path - 462015 (2016_10_07 00_26_59 UTC).mp3,,
2015,26,2015-04-07,"April 6, 2015 Podcast",confirmed,rss,,april-6-2015-podcast-efd6e7fd27,
2015,27,2015-04-21,"April 20, 2015 Podcast",confirmed,rss,2015/20150420.mp3,april-20-2015-podcast-ae94751790,
2015,28,2015-04-27,,local-only,local,"2015/Live From The Path - April 27, 2015 (2016_10_07 00_26_59 UTC).mp3",,
