platform,media_id,title,publication_date,duration_seconds,url,candidate_disposition,matched_master_id,matched_master_date,match_score
youtube,Xp69V5eb2z0,Adam Cates - Stay,,327,https://www.youtube.com/watch?v=Xp69V5eb2z0,supporting-clip-needs-episode-link,,,0.444
youtube,HuWDk9fVt18,Adam Cates - Take Me Jesus,,240,https://www.youtube.com/watch?v=HuWDk9fVt18,supporting-clip-needs-episode-link,,,0.549
youtube,FxtVU8AyIiY,Adam Cates - Take Me Jesus (II),,285,https://www.youtube.com/watch?v=FxtVU8AyIiY,supporting-clip-needs-episode-link,,,0.519
youtube,2n7L9X9pKko,Adam Cates - Why Me,,147,https://www.youtube.com/watch?v=2n7L9X9pKko,supporting-clip-needs-episode-link,,,0.438
youtube,RJA0Ri1EywY,Adam Cates - You Gave It All,,316,https://www.youtube.com/watch?v=RJA0Ri1EywY,supporting-clip-needs-episode-link,,,0.489
youtube,8ZTGs__ya88,Advice: Do I Tell My Potential Employer I'm Constantly Late?,,221,https://www.youtube.com/watch?v=8ZTGs__ya88,supporting-clip-needs-episode-link,,,0.377
youtube,h4__XP_e6Ko,Advice: Feeling Distant From God,,598,https://www.youtube.com/watch?v=h4__XP_e6Ko,supporting-clip-needs-episode-link,,,0.548
youtube,qVfwMK01iQw,Advice: How Do I Make Things Right?,,851,https://www.youtube.com/watch?v=qVfwMK01iQw,supporting-clip-needs-episode-link,,,0.557
youtube,XWpFKgJ_5W4,Affirming the Nasty Part,,4700,https://www.youtube.com/watch?v=XWpFKgJ_5W4,likely-existing-episode-or-supporting-source,ep-003-173e77548e,2025-02-04,1.0
youtube,7hknQXuKV8E,Afraid To Tell Others About Jesus,,458,https://www.youtube.com/watch?v=7hknQXuKV8E,supporting-clip-needs-episode-link,,,0.525
youtube,I1T3rLI67F4,Ahhh Hell,,4722,https://www.youtube.com/watch?v=I1T3rLI67F4,likely-existing-episode-or-supporting-source,ep-030-63cdcb257e,2022-12-05,1.0
youtube,atodz5kQ3Mc,All Five Sentences,,5340,https://www.youtube.com/watch?v=atodz5kQ3Mc,likely-existing-episode-or-supporting-source,ep-015-959aef9462,2023-07-14,1.0
youtube,je0tcnzyQF8,All In Good Time | Kevin Lindgren,,280,https://www.youtube.com/watch?v=je0tcnzyQF8,supporting-clip-needs-episode-link,,,0.531
youtube,noE_snnmYt8,Allie Crummy - I'll Have Peace,,214,https://www.youtube.com/watch?v=noE_snnmYt8,supporting-clip-needs-episode-link,,,0.623
youtube,1mVfSNf7HaU,Allie Crummy - Our God is Compassionate,,240,https://www.youtube.com/watch?v=1mVfSNf7HaU,supporting-clip-needs-episode-link,,,0.543
youtube,ItnNgLdTf8w,Allie Crummy - Out of My Head,,194,https://www.youtube.com/watch?v=ItnNgLdTf8w,supporting-clip-needs-episode-link,,,0.5
youtube,XsLLKUfeRK4,An Introduction to Live From The Path,,121,https://www.youtube.com/watch?v=XsLLKUfeRK4,supporting-clip-needs-episode-link,,,0.556
youtube,acasgoJ0DMw,Andy and Kelly   Whistling Righteousness,,145,https://www.youtube.com/watch?v=acasgoJ0DMw,supporting-clip-needs-episode-link,,,0.484
youtube,eMF6G38gCww,Angels We Have Heard on High - Jeff Arrandale,,248,https://www.youtube.com/watch?v=eMF6G38gCww,supporting-clip-needs-episode-link,,,0.423
youtube,Ed4d_SW8xUw,Angels and Blessings,,5677,https://www.youtube.com/watch?v=Ed4d_SW8xUw,likely-existing-episode-or-supporting-source,ep-011-a9eda16cb8,2024-04-23,1.0
youtube,7jRwCIJi7B4,Angels and Blessings | 2024 Episode11,,5676,https://www.youtube.com/watch?v=7jRwCIJi7B4,likely-existing-episode-or-supporting-source,ep-011-a9eda16cb8,2024-04-23,1.0
youtube,XwPM8OVG22Q,Annoying Church Behavior - Answering The Phone,,178,https://www.youtube.com/watch?v=XwPM8OVG22Q,supporting-clip-needs-episode-link,,,0.453
youtube,xv1pt7s-HNk,Anthem Lights - Can't Shut Up,,235,https://www.youtube.com/watch?v=xv1pt7s-HNk,supporting-clip-needs-episode-link,,,0.436
youtube,t1PDEQJys-M,Anthem Lights Interview,,393,https://www.youtube.com/watch?v=t1PDEQJys-M,supporting-clip-needs-episode-link,,,0.526
youtube,bRyRNV8biQI,Archers and Illuminators - Footsteps,,184,https://www.youtube.com/watch?v=bRyRNV8biQI,supporting-clip-needs-episode-link,,,0.469
youtube,f-V2VLZgnDk,Archers and Illuminators - Here With You,,182,https://www.youtube.com/watch?v=f-V2VLZgnDk,supporting-clip-needs-episode-link,,,0.456
youtube,NGAwFweU6F8,Are Doers the Key to Spreading the Gospel? ⛪️🌍,,71,https://www.youtube.com/watch?v=NGAwFweU6F8,supporting-clip-needs-episode-link,,,0.447
youtube,opgb_kUtIrQ,Are We Ready | 2024 Episode 34,,4823,https://www.youtube.com/watch?v=opgb_kUtIrQ,likely-existing-episode-or-supporting-source,ep-034-913154211b,2024-12-17,1.0
youtube,VPoc8dSBthQ,Are We Ready?,,4846,https://www.youtube.com/watch?v=VPoc8dSBthQ,likely-existing-episode-or-supporting-source,ep-034-913154211b,2024-12-17,1.0
youtube,z0JSIyPpXdg,Are You Flawless As Your True Self?,,52,https://www.youtube.com/watch?v=z0JSIyPpXdg,supporting-clip-needs-episode-link,,,0.437
youtube,0yfEETah5Aw,Are we called to grace or obedience?,,482,https://www.youtube.com/watch?v=0yfEETah5Aw,supporting-clip-needs-episode-link,,,0.444
youtube,gXjtwf9ZYr0,Are you in an Inappropriate Online Relationship?,,1217,https://www.youtube.com/watch?v=gXjtwf9ZYr0,long-form-needs-date-reconciliation,,,0.426
youtube,_osvUZ4Ge1c,Arms Of Love - Tim Cooper and Friends,,233,https://www.youtube.com/watch?v=_osvUZ4Ge1c,supporting-clip-needs-episode-link,,,0.554
youtube,Dizlt9ArPWE,Artificial Holy Spirit Intelligence,,5855,https://www.youtube.com/watch?v=Dizlt9ArPWE,likely-existing-episode-or-supporting-source,ep-033-534d108a0c,2024-12-03,1.0
youtube,ZREObHZs6Hw,Asking AI Lamech,,5975,https://www.youtube.com/watch?v=ZREObHZs6Hw,likely-existing-episode-or-supporting-source,ep-009-09625fdaa1,2024-04-02,1.0
youtube,gAHxSg_wtBE,Atheist Convention,,429,https://www.youtube.com/watch?v=gAHxSg_wtBE,supporting-clip-needs-episode-link,,,0.6
youtube,Ei2Kbj6NOws,Bad Things vs. Good People,,631,https://www.youtube.com/watch?v=Ei2Kbj6NOws,supporting-clip-needs-episode-link,,,0.553
youtube,EVWjiYkBB2M,Ballad of Vince Parsons,,4552,https://www.youtube.com/watch?v=EVWjiYkBB2M,likely-existing-episode-or-supporting-source,ep-001-e960c2cbd9,2025-01-07,1.0
youtube,Ht64D_ukr80,Be Lifted High - On This Rock,,317,https://www.youtube.com/watch?v=Ht64D_ukr80,supporting-clip-needs-episode-link,,,0.491
youtube,ToENj9Clf8U,Beards and Hiding Things on the Gas Station tab,,604,https://www.youtube.com/watch?v=ToENj9Clf8U,supporting-clip-needs-episode-link,,,0.494
youtube,-VXTSUEEVDA,Because I Got High,,4960,https://www.youtube.com/watch?v=-VXTSUEEVDA,likely-existing-episode-or-supporting-source,ep-016-13854b18ce,2026-06-09,1.0
youtube,eraC0YZwirc,Because of Fussy and Fuzzy,,6916,https://www.youtube.com/watch?v=eraC0YZwirc,likely-existing-episode-or-supporting-source,ep-019-77383b667c,2023-09-02,1.0
youtube,Uzm3C9OnfgM,"Beg Your Pardon, Joel",,4782,https://www.youtube.com/watch?v=Uzm3C9OnfgM,likely-existing-episode-or-supporting-source,ep-026-134c99b825,2017-09-06,1.0
youtube,2m5mEFkMGtk,Being a Tool for Halloween,,3549,https://www.youtube.com/watch?v=2m5mEFkMGtk,likely-existing-episode-or-supporting-source,ep-026-e740f84b75,2021-10-28,1.0
youtube,UO0Mq0SLNd8,Being the Obedient Brother of the Prodigal Son,,149,https://www.youtube.com/watch?v=UO0Mq0SLNd8,supporting-clip-needs-episode-link,,,0.444
youtube,5b_OPryJFA0,BeliefNet.Org.Com,,5310,https://www.youtube.com/watch?v=5b_OPryJFA0,likely-existing-episode-or-supporting-source,ep-002-c44876e0d4,2025-01-14,1.0
youtube,lGlBLycgAf8,Bethany Joy Johnson - Lost,,238,https://www.youtube.com/watch?v=lGlBLycgAf8,supporting-clip-needs-episode-link,,,0.439
youtube,DfE6ob8smpI,Bethany Joy Johnson - Someday,,173,https://www.youtube.com/watch?v=DfE6ob8smpI,supporting-clip-needs-episode-link,,,0.436
youtube,eRE2RAqjN5E,Beware of Blog Commenters,,126,https://www.youtube.com/watch?v=eRE2RAqjN5E,supporting-clip-needs-episode-link,,,0.5
youtube,kuhfMfkL2Gc,Beyonce's Sister Attacks Jay Z - What would you do?,,248,https://www.youtube.com/watch?v=kuhfMfkL2Gc,supporting-clip-needs-episode-link,,,0.39
youtube,3J_TKT6yXKY,Beyond Despacito,,6021,https://www.youtube.com/watch?v=3J_TKT6yXKY,likely-existing-episode-or-supporting-source,ep-029-e78ba61e8c,2023-12-18,1.0
youtube,mJY5aYEIUYg,Beyond Despacito | 2023 Episode 29,,5988,https://www.youtube.com/watch?v=mJY5aYEIUYg,likely-existing-episode-or-supporting-source,ep-029-e78ba61e8c,2023-12-18,1.0
youtube,C89gv3Q4tyg,Big Questions - Doubting the Existence of God,,1942,https://www.youtube.com/watch?v=C89gv3Q4tyg,long-form-needs-date-reconciliation,,,0.478
youtube,mkQIeY6iJFg,Biking With Billy Shatner | 2024 Episode 06,,5225,https://www.youtube.com/watch?v=mkQIeY6iJFg,likely-existing-episode-or-supporting-source,ep-006-86faae3919,2024-03-05,1.0
youtube,UVC2GmHpz2Y,Biking with Billy Shatner,,5220,https://www.youtube.com/watch?v=UVC2GmHpz2Y,likely-existing-episode-or-supporting-source,ep-006-86faae3919,2024-03-05,1.0
youtube,4ZWDaKZ3J_A,Birdcage,,4394,https://www.youtube.com/watch?v=4ZWDaKZ3J_A,likely-existing-episode-or-supporting-source,ep-024-ef4af15f08,2024-08-27,1.0
youtube,9Tmy3UTkFcE,Birdcage,,4400,https://www.youtube.com/watch?v=9Tmy3UTkFcE,likely-existing-episode-or-supporting-source,ep-024-ef4af15f08,2024-08-27,1.0
youtube,tEQ-mWvOjPM,Boova Redux,,4840,https://www.youtube.com/watch?v=tEQ-mWvOjPM,likely-existing-episode-or-supporting-source,ep-015-14a1b1eef6,2025-07-22,1.0
youtube,BHqrveqDW9s,Boova's Double Barrel Pope Style,,965,https://www.youtube.com/watch?v=BHqrveqDW9s,supporting-clip-needs-episode-link,,,0.456
youtube,B4G_AErQCiE,Breaking Free from Transactional Faith: Embracing a Trusting Relationship with God,,98,https://www.youtube.com/watch?v=B4G_AErQCiE,supporting-clip-needs-episode-link,,,0.369
youtube,dzlNjESS5WY,Breaking Free: Trusting God in Times of Stress and Addiction,,93,https://www.youtube.com/watch?v=dzlNjESS5WY,supporting-clip-needs-episode-link,,,0.459
youtube,Q_pXRUPlLTE,Breaking free from societal norms: Embracing a life of endless possibilities,,65,https://www.youtube.com/watch?v=Q_pXRUPlLTE,supporting-clip-needs-episode-link,,,0.403
youtube,UgpG9YBmCw8,Bring Your Purse to Brunch,,6934,https://www.youtube.com/watch?v=UgpG9YBmCw8,likely-existing-episode-or-supporting-source,ep-005-5ad2669fad,2024-02-27,1.0
youtube,0rzfJNd4zXQ,Bring Your Purse to Brunch,,4945,https://www.youtube.com/watch?v=0rzfJNd4zXQ,likely-existing-episode-or-supporting-source,ep-005-5ad2669fad,2024-02-27,1.0
youtube,E4rx3dV8HGY,Britches in Heaven,,1910,https://www.youtube.com/watch?v=E4rx3dV8HGY,likely-existing-episode-or-supporting-source,ep-028-2b160cc29a,2024-10-01,1.0
youtube,WfsinC_FFOU,Burned by the Church? Ways to Help,,63,https://www.youtube.com/watch?v=WfsinC_FFOU,supporting-clip-needs-episode-link,,,0.471
youtube,19EljJxZvyM,Buying International Locusts,,3684,https://www.youtube.com/watch?v=19EljJxZvyM,likely-existing-episode-or-supporting-source,ep-011-c2cb878d4b,2022-05-16,1.0
youtube,d-Ob0ngsEZ0,By Invitation Only,,5130,https://www.youtube.com/watch?v=d-Ob0ngsEZ0,likely-existing-episode-or-supporting-source,ep-030-98017142e4,2024-10-29,1.0
youtube,6LIZYaW50HM,"CJ Michaels - 8,000",,295,https://www.youtube.com/watch?v=6LIZYaW50HM,supporting-clip-needs-episode-link,,,0.465
youtube,v3WQzYuozvQ,CJ Michaels - In Jesus,,237,https://www.youtube.com/watch?v=v3WQzYuozvQ,supporting-clip-needs-episode-link,,,0.553
youtube,Smi8QA3T9vo,CJ Michaels - Meant To Stay,,218,https://www.youtube.com/watch?v=Smi8QA3T9vo,supporting-clip-needs-episode-link,,,0.489
youtube,lGlmvuggXEg,CJ Michaels - Shehkina,,194,https://www.youtube.com/watch?v=lGlmvuggXEg,supporting-clip-needs-episode-link,,,0.474
youtube,GNgRvwX0AJc,CS Lewis Has Fallen,,5294,https://www.youtube.com/watch?v=GNgRvwX0AJc,likely-existing-episode-or-supporting-source,ep-023-8f3620e4f2,2022-10-03,1.0
youtube,E62JR7jBMH4,Call Me Hoopi,,5523,https://www.youtube.com/watch?v=E62JR7jBMH4,likely-existing-episode-or-supporting-source,ep-023-3a9d4e33d3,2026-09-15,1.0
youtube,DmNfKwJXi8A,Can Christians Have A Hobby?,,895,https://www.youtube.com/watch?v=DmNfKwJXi8A,supporting-clip-needs-episode-link,,,0.545
youtube,uLkydaHUB5E,Can Saying No Lead to a more Focused and Productive Life? 🚫🙌🤔,,61,https://www.youtube.com/watch?v=uLkydaHUB5E,supporting-clip-needs-episode-link,,,0.46
youtube,cp0OT005enU,Can a Christian smoke pot and drink beer?,,822,https://www.youtube.com/watch?v=cp0OT005enU,supporting-clip-needs-episode-link,,,0.507
youtube,6HI3exc-_4U,Can two guys love each other and not be gay?,,304,https://www.youtube.com/watch?v=6HI3exc-_4U,supporting-clip-needs-episode-link,,,0.438
youtube,vpOHmA-QY5s,"Can we really do ""all things"" through Jesus Christ?",,363,https://www.youtube.com/watch?v=vpOHmA-QY5s,supporting-clip-needs-episode-link,,,0.48
youtube,Rrpt7W4UGvg,Can you trust your gut? 🧠 Discover how accurate your feelings really are! 🔍 #TrustYourGut,,56,https://www.youtube.com/watch?v=Rrpt7W4UGvg,supporting-clip-needs-episode-link,,,0.321
youtube,VzORMQ2xJ9Y,Canadian Woman Fakes Pregnancy,,472,https://www.youtube.com/watch?v=VzORMQ2xJ9Y,supporting-clip-needs-episode-link,,,0.5
youtube,Jj3pJdnZUPc,Candy 4 Nickels - I Try,,201,https://www.youtube.com/watch?v=Jj3pJdnZUPc,supporting-clip-needs-episode-link,,,0.478
youtube,41MAIu59E-k,Candy 4 Nickels - Lifted,,202,https://www.youtube.com/watch?v=41MAIu59E-k,supporting-clip-needs-episode-link,,,0.476
youtube,JdAwdrvDkmE,Candy 4 Nickels - Pieces of My Heart,,173,https://www.youtube.com/watch?v=JdAwdrvDkmE,supporting-clip-needs-episode-link,,,0.423
youtube,Tddv4SaJaSM,Candy 4 Nickels - We Three Kings,,201,https://www.youtube.com/watch?v=Tddv4SaJaSM,supporting-clip-needs-episode-link,,,0.483
youtube,INptSCKqdfg,Caps For Sale,,379,https://www.youtube.com/watch?v=INptSCKqdfg,supporting-clip-needs-episode-link,,,0.533
youtube,P_EyqhbjLPk,Captive - Unscene Patrol,,265,https://www.youtube.com/watch?v=P_EyqhbjLPk,supporting-clip-needs-episode-link,,,0.455
youtube,cCEiq8_YL5I,Cartoon Satan at the Grammys,,49,https://www.youtube.com/watch?v=cCEiq8_YL5I,supporting-clip-needs-episode-link,,,0.468
youtube,0xpVfw7RpK0,Cass Lester - Finally Serene,,259,https://www.youtube.com/watch?v=0xpVfw7RpK0,supporting-clip-needs-episode-link,,,0.578
youtube,00bcVwRv2VY,Cass Lester - Smokescreen,,229,https://www.youtube.com/watch?v=00bcVwRv2VY,supporting-clip-needs-episode-link,,,0.476
youtube,G3IKRdQ06OQ,Cat Pines For Swoll Dude,,813,https://www.youtube.com/watch?v=G3IKRdQ06OQ,supporting-clip-needs-episode-link,,,0.512
youtube,CqwU8W1TAm4,Catholic Church Apologizes for Militia Advertisement: Explained,,123,https://www.youtube.com/watch?v=CqwU8W1TAm4,supporting-clip-needs-episode-link,,,0.385
youtube,DZy8KcYRBNw,Celebrate 🎉 with Others - How to Respect Different Experiences 💖,,63,https://www.youtube.com/watch?v=DZy8KcYRBNw,supporting-clip-needs-episode-link,,,0.457
youtube,ZO0ynJHvC08,Certainty - His Place,,332,https://www.youtube.com/watch?v=ZO0ynJHvC08,supporting-clip-needs-episode-link,,,0.522
youtube,xrrm73pyzwY,Certainty - Watchin' Over Me,,273,https://www.youtube.com/watch?v=xrrm73pyzwY,supporting-clip-needs-episode-link,,,0.468
youtube,kzQVDp6OUvo,Chandra Knudsen - Washed Away,,227,https://www.youtube.com/watch?v=kzQVDp6OUvo,supporting-clip-needs-episode-link,,,0.431
youtube,_o0AKPLQPy4,Changing Teams,,3824,https://www.youtube.com/watch?v=_o0AKPLQPy4,likely-existing-episode-or-supporting-source,ep-018-70018d4bee,2022-08-15,1.0
youtube,AOL-B6BLmko,Charity Workers Take $1 Million,,247,https://www.youtube.com/watch?v=AOL-B6BLmko,supporting-clip-needs-episode-link,,,0.444
youtube,gLF8VlyNTWQ,Charlatan Kings,,5025,https://www.youtube.com/watch?v=gLF8VlyNTWQ,likely-existing-episode-or-supporting-source,ep-007-f40f3c758b,2023-04-06,1.0
youtube,kNK4HrldDkQ,Charlatan Kings | 2023 E07,,4984,https://www.youtube.com/watch?v=kNK4HrldDkQ,likely-existing-episode-or-supporting-source,ep-007-f40f3c758b,2023-04-06,1.0
youtube,jU6YzNPiV34,Cherishing Accessibility: A Lesson from Cultural Exchange,,71,https://www.youtube.com/watch?v=jU6YzNPiV34,supporting-clip-needs-episode-link,,,0.438
youtube,8-xnuLG0b4U,Chill Out,,5190,https://www.youtube.com/watch?v=8-xnuLG0b4U,likely-existing-episode-or-supporting-source,ep-011-9957399138,2025-05-20,1.0
youtube,cTY0_LgJK0g,Chris Akers -  Look In Your Eyes,,233,https://www.youtube.com/watch?v=cTY0_LgJK0g,supporting-clip-needs-episode-link,,,0.5
youtube,Rr_05t9YA2k,Chris Akers - Come A Long Way,,188,https://www.youtube.com/watch?v=Rr_05t9YA2k,supporting-clip-needs-episode-link,,,0.465
youtube,k7eNtNVFkqw,Chris Akers - Cup of Stars,,147,https://www.youtube.com/watch?v=k7eNtNVFkqw,supporting-clip-needs-episode-link,,,0.5
youtube,ph98E5jzE5g,Chris Akers - Grace,,245,https://www.youtube.com/watch?v=ph98E5jzE5g,supporting-clip-needs-episode-link,,,0.552
youtube,tl6-SdQmzPs,Chris Akers - I Choose Forever,,192,https://www.youtube.com/watch?v=tl6-SdQmzPs,supporting-clip-needs-episode-link,,,0.478
youtube,zZuJ9IUDlfw,Chris Akers - Waiting All My Life,,199,https://www.youtube.com/watch?v=zZuJ9IUDlfw,supporting-clip-needs-episode-link,,,0.517
youtube,vOmdIyDJD6s,Chris Day - Great Are You God,,224,https://www.youtube.com/watch?v=vOmdIyDJD6s,supporting-clip-needs-episode-link,,,0.5
youtube,RMdhvOq51vw,Chris Day - Let Our Praises Rise To You,,201,https://www.youtube.com/watch?v=RMdhvOq51vw,supporting-clip-needs-episode-link,,,0.54
youtube,uUuOX1484DA,Chris Day - Relentless,,267,https://www.youtube.com/watch?v=uUuOX1484DA,supporting-clip-needs-episode-link,,,0.489
youtube,FwH8mraQ-10,Chris Day - We Won't Run Away,,211,https://www.youtube.com/watch?v=FwH8mraQ-10,supporting-clip-needs-episode-link,,,0.531
youtube,28yxPEUfeJ8,Chris Rohloff - Now Thank We All Our God,,140,https://www.youtube.com/watch?v=28yxPEUfeJ8,supporting-clip-needs-episode-link,,,0.417
youtube,9uq-mO19Xhg,Chris Rohloff - Who Is On The Lord's Side,,268,https://www.youtube.com/watch?v=9uq-mO19Xhg,supporting-clip-needs-episode-link,,,0.473
youtube,vsMkPdL4RQ0,Christians Don’t Understand Christianity,,3920,https://www.youtube.com/watch?v=vsMkPdL4RQ0,likely-existing-episode-or-supporting-source,ep-022-7dba1a79b2,2021-09-16,1.0
youtube,AaOHXs4zGaQ,Christians need to put on humble pants (Pope-Style Advice),,674,https://www.youtube.com/watch?v=AaOHXs4zGaQ,supporting-clip-needs-episode-link,,,0.479
youtube,GCimpZCw2Xs,Church Choices,,53,https://www.youtube.com/watch?v=GCimpZCw2Xs,supporting-clip-needs-episode-link,,,0.667
youtube,SUe8Uor2w6k,Church Gives Away Assault Weapon,,357,https://www.youtube.com/watch?v=SUe8Uor2w6k,supporting-clip-needs-episode-link,,,0.458
youtube,QHALNNTwhzc,Churches Should Never Close,,38,https://www.youtube.com/watch?v=QHALNNTwhzc,supporting-clip-needs-episode-link,,,0.468
youtube,TY4CrudVw44,Coffee After Sunday,,5370,https://www.youtube.com/watch?v=TY4CrudVw44,likely-existing-episode-or-supporting-source,ep-011-92d79fb479,2026-04-28,1.0
youtube,ejsfr_0FYAo,Cold Showers Are Bro Science,,56,https://www.youtube.com/watch?v=ejsfr_0FYAo,supporting-clip-needs-episode-link,,,0.423
youtube,l4ESu55pJaE,Collide  - John Paul Burtch,,266,https://www.youtube.com/watch?v=l4ESu55pJaE,supporting-clip-needs-episode-link,,,0.8
youtube,r3MLijCu-Bw,Come Home - On This Rock,,334,https://www.youtube.com/watch?v=r3MLijCu-Bw,supporting-clip-needs-episode-link,,,0.488
youtube,Y_SNsNHhuGM,Coming Home - Driven 11,,217,https://www.youtube.com/watch?v=Y_SNsNHhuGM,supporting-clip-needs-episode-link,,,0.49
youtube,pXrXTisKRBw,Commercial II,,123,https://www.youtube.com/watch?v=pXrXTisKRBw,supporting-clip-needs-episode-link,,,0.4
youtube,FzBqhL5lpbE,Couple married 70 years die 15 hours apart,,194,https://www.youtube.com/watch?v=FzBqhL5lpbE,supporting-clip-needs-episode-link,,,0.4
